epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1601,0.71347,3.56088,1.27945,0.30819,0.24888,0.22355,0.1816,0.62702,3.21551,1.19148,0.000234281,0.000234281,0.000234281
2,59.4111,0.72781,2.07144,1.22771,0.15816,0.43669,0.24457,0.12847,1.37529,2.68625,1.84413,0.000472201,0.000472201,0.000472201
3,81.4646,0.77983,1.83472,1.25656,0.40735,0.27063,0.28351,0.20274,1.16862,2.58505,1.91776,0.000709799,0.000709799,0.000709799
4,103.456,0.79055,1.76256,1.27843,0.40677,0.2613,0.29539,0.21745,1.03616,2.56543,1.45362,0.00071291,0.00071291,0.00071291
5,124.521,0.78093,1.70958,1.26085,0.52821,0.34969,0.43948,0.33143,0.84054,2.03135,1.44132,0.000712064,0.000712064,0.000712064
6,146.79,0.74537,1.59408,1.2365,0.72029,0.38285,0.4929,0.37607,0.84968,1.8008,1.33356,0.000710976,0.000710976,0.000710976
7,169.458,0.71226,1.44595,1.2058,0.73094,0.4139,0.51097,0.39365,0.88666,1.54723,1.34869,0.000709649,0.000709649,0.000709649
8,190.894,0.70595,1.49965,1.21804,0.47048,0.392,0.39219,0.28314,0.97199,1.98376,1.46071,0.000708082,0.000708082,0.000708082
9,213.584,0.66947,1.29887,1.17824,0.58183,0.55769,0.60898,0.51519,0.73885,1.23088,1.22589,0.000706277,0.000706277,0.000706277
10,236.311,0.65049,1.24666,1.17024,0.56308,0.42909,0.51651,0.4304,0.80366,1.80323,1.30543,0.000704235,0.000704235,0.000704235
11,258.102,0.63549,1.21665,1.15473,0.66502,0.52421,0.5573,0.47578,0.63654,1.57765,1.22334,0.000701957,0.000701957,0.000701957
12,280.81,0.62465,1.17694,1.15116,0.53323,0.69377,0.69153,0.55893,0.71201,1.30518,1.19162,0.000699446,0.000699446,0.000699446
13,303.64,0.60624,1.11603,1.13449,0.69227,0.57942,0.64827,0.542,0.66666,1.19979,1.12123,0.000696702,0.000696702,0.000696702
14,325.801,0.61801,1.13289,1.14076,0.66502,0.62367,0.72051,0.56856,0.77053,1.21673,1.22942,0.000693728,0.000693728,0.000693728
15,348.716,0.61153,1.07239,1.13372,0.67716,0.65865,0.70435,0.58877,0.74248,1.04102,1.28427,0.000690525,0.000690525,0.000690525
16,371.443,0.607,1.0245,1.13661,0.70373,0.64314,0.72629,0.60365,0.59066,1.17282,1.15038,0.000687097,0.000687097,0.000687097
17,393.072,0.5938,1.03778,1.12669,0.40753,0.55706,0.54841,0.45702,0.63539,1.76389,1.1052,0.000683444,0.000683444,0.000683444
18,415.243,0.56679,0.96068,1.11585,0.77083,0.63883,0.73648,0.63826,0.54641,1.14292,1.03853,0.000679571,0.000679571,0.000679571
19,437.038,0.55415,0.9742,1.09685,0.71066,0.67857,0.72035,0.6306,0.60362,1.02871,1.11861,0.000675478,0.000675478,0.000675478
20,459.103,0.55055,0.93626,1.09485,0.72996,0.59126,0.72078,0.60227,0.65733,1.18196,1.15671,0.00067117,0.00067117,0.00067117
21,481.438,0.52843,0.92342,1.08582,0.83178,0.67072,0.74943,0.64596,0.60387,0.91223,1.15534,0.000666649,0.000666649,0.000666649
22,503.861,0.51796,0.85712,1.08281,0.77645,0.56429,0.69305,0.62381,0.45238,1.12881,1.01504,0.000661919,0.000661919,0.000661919
23,525.312,0.52271,0.88022,1.08261,0.69352,0.75778,0.7596,0.67651,0.51967,0.921,1.01567,0.000656981,0.000656981,0.000656981
24,547.301,0.5281,0.8052,1.08479,0.78718,0.76579,0.77243,0.68068,0.52102,0.90389,1.03449,0.000651841,0.000651841,0.000651841
25,568.389,0.53626,0.81029,1.07845,0.86273,0.76493,0.84557,0.77443,0.42621,0.72588,0.97682,0.000646501,0.000646501,0.000646501
26,590.338,0.51866,0.78484,1.07912,0.74482,0.75998,0.80888,0.70511,0.4815,0.91216,1.06686,0.000640965,0.000640965,0.000640965
27,612.449,0.51273,0.80615,1.07065,0.79527,0.7373,0.8141,0.72888,0.48,0.75902,1.0328,0.000635237,0.000635237,0.000635237
28,633.606,0.51198,0.78446,1.0723,0.81054,0.67877,0.79925,0.70175,0.50093,0.77025,1.04887,0.00062932,0.00062932,0.00062932
29,655.758,0.50599,0.78627,1.06708,0.7853,0.69214,0.8025,0.69759,0.49247,0.91942,1.02807,0.00062322,0.00062322,0.00062322
30,677.265,0.51661,0.75195,1.08107,0.77709,0.7249,0.81555,0.7243,0.50721,0.79028,1.04149,0.000616939,0.000616939,0.000616939
31,698.951,0.51217,0.72043,1.07574,0.83635,0.72464,0.84013,0.72563,0.56069,0.82378,1.0858,0.000610483,0.000610483,0.000610483
32,721.118,0.50674,0.72841,1.081,0.79806,0.72056,0.80269,0.70269,0.49313,0.91209,1.03544,0.000603855,0.000603855,0.000603855
33,742.302,0.48051,0.70518,1.06041,0.74231,0.71462,0.77056,0.69563,0.51071,0.87344,1.04337,0.000597061,0.000597061,0.000597061
34,764.41,0.48345,0.67088,1.04938,0.78466,0.78064,0.81964,0.73964,0.51676,0.77883,1.02794,0.000590104,0.000590104,0.000590104
35,786.513,0.48598,0.66296,1.05025,0.86463,0.72539,0.84306,0.76242,0.50429,0.81136,1.01616,0.000582991,0.000582991,0.000582991
36,807.462,0.47893,0.67222,1.06222,0.82895,0.76658,0.8465,0.77736,0.43185,0.83393,0.98893,0.000575725,0.000575725,0.000575725
37,829.607,0.47949,0.6581,1.06285,0.74542,0.83827,0.82604,0.75434,0.43743,0.77193,0.98923,0.000568311,0.000568311,0.000568311
38,850.789,0.46174,0.63345,1.0451,0.85478,0.73923,0.84317,0.76611,0.41922,0.75919,0.97311,0.000560755,0.000560755,0.000560755
39,872.599,0.4679,0.63045,1.05125,0.78959,0.74273,0.82268,0.74104,0.49106,0.78669,1.03744,0.000553062,0.000553062,0.000553062
40,894.669,0.46281,0.6122,1.04316,0.84339,0.73154,0.79312,0.70649,0.5632,0.91657,1.10744,0.000545237,0.000545237,0.000545237
41,915.718,0.45933,0.60274,1.05145,0.84948,0.73892,0.8396,0.78346,0.37694,0.71444,0.97165,0.000537285,0.000537285,0.000537285
42,937.988,0.44039,0.56322,1.02883,0.85226,0.76041,0.8557,0.77668,0.40658,0.6919,0.99187,0.000529212,0.000529212,0.000529212
43,959.697,0.44357,0.58406,1.02882,0.84903,0.82939,0.87581,0.80826,0.42529,0.61096,0.98141,0.000521024,0.000521024,0.000521024
44,981.214,0.43821,0.56984,1.03848,0.86144,0.78473,0.84563,0.76326,0.4882,0.65704,1.00421,0.000512726,0.000512726,0.000512726
45,1003.55,0.42914,0.57952,1.02082,0.89658,0.77983,0.84984,0.78246,0.44389,0.72552,1.01062,0.000504323,0.000504323,0.000504323
