epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0854,1.09441,2.94049,1.4674,0.69266,0.40539,0.43948,0.33832,1.308,2.37939,1.30723,0.000236767,0.000236767,0.000236767
2,157.602,1.09809,1.77261,1.44428,0.5884,0.40833,0.42853,0.28197,1.85013,2.34088,1.86865,0.000474686,0.000474686,0.000474686
3,220.767,1.12657,1.7242,1.45399,0.5197,0.42903,0.47697,0.34507,1.4262,2.15649,1.45158,0.000712283,0.000712283,0.000712283
4,283.944,1.10624,1.69148,1.44636,0.68445,0.54985,0.62084,0.42387,1.63161,1.72608,1.50018,0.00071291,0.00071291,0.00071291
5,347.484,1.06801,1.55417,1.41063,0.5321,0.5331,0.55612,0.41949,1.32421,1.72686,1.37827,0.000712064,0.000712064,0.000712064
6,411.976,1.03376,1.46071,1.38241,0.70765,0.5094,0.58852,0.43794,1.46368,1.67942,1.48584,0.000710976,0.000710976,0.000710976
7,475.459,1.0139,1.39081,1.37717,0.66175,0.63889,0.63709,0.47756,1.44389,1.61346,1.39107,0.000709649,0.000709649,0.000709649
8,537.97,0.9883,1.30879,1.34425,0.5805,0.56347,0.55362,0.42765,1.21157,1.54225,1.34656,0.000708082,0.000708082,0.000708082
9,600.896,0.975,1.26582,1.34054,0.71294,0.66594,0.70519,0.5607,1.21705,1.37353,1.31252,0.000706277,0.000706277,0.000706277
10,662.58,0.96122,1.22211,1.33284,0.80237,0.62803,0.71,0.55441,1.13498,1.46914,1.2237,0.000704235,0.000704235,0.000704235
11,725.423,0.93619,1.16747,1.30839,0.75103,0.65748,0.72823,0.58392,0.93678,1.34166,1.15836,0.000701957,0.000701957,0.000701957
12,787.006,0.9082,1.12562,1.2817,0.76028,0.64641,0.72519,0.5612,1.2271,1.37069,1.33635,0.000699446,0.000699446,0.000699446
13,848.242,0.91637,1.0999,1.28844,0.73631,0.67121,0.72615,0.56839,1.16949,1.25693,1.23775,0.000696702,0.000696702,0.000696702
14,909.451,0.88714,1.05423,1.26729,0.81393,0.63204,0.70068,0.58483,1.0706,1.3156,1.15713,0.000693728,0.000693728,0.000693728
15,972.642,0.86945,1.04586,1.25366,0.6969,0.66386,0.6917,0.56183,1.09569,1.29799,1.1959,0.000690525,0.000690525,0.000690525
16,1036.36,0.85284,1.0176,1.24513,0.7797,0.66728,0.73504,0.60907,0.96027,1.15081,1.13298,0.000687097,0.000687097,0.000687097
17,1099.48,0.83743,0.98566,1.23739,0.76243,0.67726,0.74681,0.605,1.16457,1.14909,1.23454,0.000683444,0.000683444,0.000683444
18,1162.39,0.83212,0.94954,1.23588,0.73537,0.67555,0.74775,0.62166,0.88583,1.15426,1.14335,0.000679571,0.000679571,0.000679571
19,1226.15,0.82845,0.95624,1.23105,0.80475,0.70959,0.7808,0.6351,1.13156,1.20687,1.23903,0.000675478,0.000675478,0.000675478
20,1289.61,0.8254,0.91814,1.23018,0.72685,0.7072,0.74683,0.63202,0.72194,1.22994,1.11822,0.00067117,0.00067117,0.00067117
21,1352.56,0.80517,0.90163,1.20869,0.80199,0.67547,0.75996,0.65624,0.88716,1.09775,1.12156,0.000666649,0.000666649,0.000666649
22,1415.67,0.7809,0.87199,1.19662,0.81398,0.68867,0.77765,0.65997,0.81603,1.14365,1.13601,0.000661919,0.000661919,0.000661919
23,1477.91,0.78438,0.8658,1.19982,0.73882,0.68265,0.74636,0.62096,0.79573,1.0018,1.13827,0.000656981,0.000656981,0.000656981
24,1539.88,0.78411,0.85616,1.20023,0.74433,0.72621,0.77204,0.66607,0.7572,1.18583,1.07518,0.000651841,0.000651841,0.000651841
25,1603.17,0.75634,0.83046,1.18287,0.7892,0.63407,0.75026,0.63768,0.72344,1.39674,1.12741,0.000646501,0.000646501,0.000646501
26,1665.97,0.75933,0.81834,1.18125,0.77396,0.66977,0.76651,0.64242,0.80329,1.14548,1.11772,0.000640965,0.000640965,0.000640965
27,1728.52,0.74617,0.79582,1.17064,0.70842,0.68747,0.73635,0.63299,0.78435,1.17336,1.09752,0.000635237,0.000635237,0.000635237
28,1791.42,0.76343,0.8118,1.18299,0.73964,0.6875,0.75318,0.62663,0.86054,1.13509,1.09901,0.00062932,0.00062932,0.00062932
29,1852.83,0.74672,0.77458,1.17489,0.74742,0.69551,0.74315,0.65323,0.88684,1.21044,1.13921,0.00062322,0.00062322,0.00062322
30,1915.88,0.72241,0.76006,1.15891,0.75659,0.70503,0.7739,0.68069,0.66644,1.07447,1.06654,0.000616939,0.000616939,0.000616939
31,1979.71,0.73926,0.76404,1.17138,0.79259,0.67657,0.76291,0.65456,0.79522,1.10338,1.08124,0.000610483,0.000610483,0.000610483
32,2042.31,0.7373,0.76462,1.16682,0.74637,0.72144,0.78839,0.66333,0.76039,1.07927,1.09883,0.000603855,0.000603855,0.000603855
33,2105.27,0.73455,0.75202,1.16318,0.71641,0.69495,0.75943,0.64026,0.85686,0.99214,1.11895,0.000597061,0.000597061,0.000597061
34,2168.22,0.70711,0.71949,1.14101,0.77132,0.74999,0.78752,0.6647,0.87775,0.91241,1.13833,0.000590104,0.000590104,0.000590104
35,2231,0.71578,0.71877,1.15718,0.81322,0.70548,0.79676,0.67709,0.68075,0.84358,1.06139,0.000582991,0.000582991,0.000582991
36,2291.83,0.7054,0.72585,1.14118,0.79211,0.70638,0.79093,0.67168,0.71567,0.87643,1.08418,0.000575725,0.000575725,0.000575725
37,2353.35,0.69838,0.69058,1.13804,0.73494,0.72042,0.75802,0.65866,0.64199,0.95342,1.04988,0.000568311,0.000568311,0.000568311
38,2416.29,0.68881,0.67691,1.13648,0.83639,0.72715,0.80728,0.69447,0.68757,0.78327,1.06685,0.000560755,0.000560755,0.000560755
39,2479.48,0.6865,0.66942,1.13097,0.75201,0.72681,0.7821,0.67481,0.69482,0.91158,1.04196,0.000553062,0.000553062,0.000553062
40,2543.35,0.68837,0.6977,1.14011,0.72736,0.77067,0.77928,0.67683,0.69477,0.85203,1.05276,0.000545237,0.000545237,0.000545237
41,2608.29,0.68283,0.65575,1.13465,0.78359,0.71633,0.78366,0.67524,0.65429,0.96924,1.05126,0.000537285,0.000537285,0.000537285
42,2673.63,0.6796,0.6559,1.12886,0.77641,0.75405,0.79325,0.68797,0.57377,0.81244,1.04083,0.000529212,0.000529212,0.000529212
43,2738.34,0.66689,0.63569,1.12437,0.73501,0.773,0.79679,0.68824,0.64345,0.85839,1.06887,0.000521024,0.000521024,0.000521024
44,2803.08,0.66441,0.6371,1.11951,0.72146,0.7758,0.78041,0.6884,0.59605,0.98418,1.06394,0.000512726,0.000512726,0.000512726
45,2867.38,0.65983,0.64307,1.12056,0.83243,0.71428,0.77118,0.68676,0.61048,0.83588,1.04602,0.000504323,0.000504323,0.000504323
46,2930.81,0.65893,0.62595,1.11245,0.77776,0.67636,0.76342,0.66084,0.56332,0.83956,1.06738,0.000495822,0.000495822,0.000495822
47,2995.04,0.6414,0.60818,1.10089,0.71733,0.72244,0.76777,0.67816,0.67059,0.91468,1.04668,0.000487228,0.000487228,0.000487228
48,3059.14,0.63794,0.59339,1.10629,0.79115,0.68759,0.75216,0.66434,0.60169,0.9076,1.02297,0.000478547,0.000478547,0.000478547
49,3123.31,0.64174,0.6065,1.09832,0.81105,0.67485,0.78614,0.68169,0.55787,0.8525,1.04766,0.000469786,0.000469786,0.000469786
50,3187.23,0.63594,0.59754,1.09918,0.7947,0.68759,0.76841,0.67636,0.58889,0.8549,1.0514,0.00046095,0.00046095,0.00046095
51,3249.15,0.62325,0.57471,1.09363,0.76042,0.74947,0.76925,0.68035,0.60339,0.82662,1.02706,0.000452044,0.000452044,0.000452044
52,3312.41,0.62988,0.56727,1.09701,0.75926,0.76063,0.77591,0.68579,0.55395,0.82322,1.03939,0.000443077,0.000443077,0.000443077
53,3376.9,0.63088,0.57155,1.09749,0.79288,0.72566,0.78726,0.68807,0.57337,0.77928,1.03235,0.000434052,0.000434052,0.000434052
